ANNEE,ESPECE,CODE POSTAL,VILLE,POPULATION
"2019",CHAT,"98897",NOUMEA NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98880",NOUVELLE CALEDONIE,"6"
"2019",CHIEN,"98875",NOUVELLE CALEDONIE,"5"
"2019",CHIEN,"98875",PLUM MONT DORE,"2"
"2019",CHAT,"98874",NOUVELLE CALEDONIE,"1"
"2019",CHAT,"98874",MONT DORE CEDEX,"1"
"2019",CHAT,"98870",NOUVELLE CALEDONIE,"3"
"2019",CHIEN,"98870",GOUARO BOURAIL,"7"
"2019",CHIEN,"98870",BOURAIL NVLE CALEDONIE,"3"
"2019",CHIEN,"98866",NOUMEA,"1"
"2019",CHAT,"98863",NOUMEA NOUVELLE CALEDONIE,"1"
"2019",CHAT,"98857",NOUMEA,"2"
"2019",CHIEN,"98853",NOUMEA CEDEX,"3"
"2019",CHIEN,"98851",NOUMEA CEDEX,"2"
"2019",CHAT,"98851",NOUMEA NOUVELLE CALEDONIE,"3"
"2019",CHIEN,"98848",NOUMEA,"2"
"2019",CHIEN,"98847",NOUMEA,"14"
"2019",CHIEN,"98847",NOUMEA CEDEX NVLE CALEDONIE,"4"
"2019",CHAT,"98846",NOUMéA CéDEX,"1"
"2019",CHIEN,"98843",NOUMEA NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98840",PAITA NOUVELLE CALEDONIE,"2"
"2019",CHIEN,"98840","TONTOUTA , PAITA","5"
"2019",CHAT,"98840",PAITA,"1"
"2019",CHAT,"98837",DUMBEA,"4"
"2019",CHIEN,"98834",YATE,"2"
"2019",CHIEN,"98833",VOH MAYOTTE,"1"
"2019",CHIEN,"98830",DUMBEA NOUVELLE CAL DONIE,"1"
"2019",CHAT,"98830",NOUMEA,"1"
"2019",CHIEN,"98830",MONT DORE,"1"
"2019",CHIEN,"98830",NOUVELLE CALEDONIE,"15"
"2019",CHAT,"98830",DUMBéA,"1"
"2019",CHIEN,"98830",DUMBEA NOUVELLE CALEDONIE,"2"
"2019",CHAT,"98830",,"1"
"2019",CHIEN,"98827",NOUVELLE CALEDONIE,"2"
"2019",CHIEN,"98817",NOUMEA,"3"
"2019",CHIEN,"98816",NOUMEA,"2"
"2019",CHAT,"98810",LE MONT DORE NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98810",MONT-DORE,"6"
"2019",CHIEN,"98810",MONT-DORE ROBINSON,"1"
"2019",CHIEN,"98810",BOULARI MONT DORE,"2"
"2019",CHIEN,"98810",NLLE CALEDONIE,"1"
"2019",CHAT,"98810",LE MONT DORE,"4"
"2019",CHIEN,"98809",MONTDORE,"1"
"2019",CHAT,"98809",NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98809",NOUMEA YAHOUE,"1"
"2019",CHIEN,"98809",NOUVELLE CALEDONIE,"17"
"2019",CHIEN,"98807",,"1"
"2019",CHIEN,"98807",NOUMEA SUD NVLE CALEDONIE,"3"
"2019",CHAT,"98807",NOUMEA SUD CEDEX NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98804",MAGENTA CEDEX,"1"
"2019",CHIEN,"98804",NOUMEA,"28"
"2019",CHIEN,"98803",NOUMEA NOUVELLE CALDONIE,"1"
"2019",CHIEN,"98803",NOUVELLE-CALEDONIE,"1"
"2019",CHIEN,"98803",DUMBEA,"1"
"2019",CHAT,"98803",MAGENTA,"1"
"2019",CHIEN,"98803",MOUMEA,"1"
"2019",CHIEN,"98803",MAGENTA NOUMEA CEDEX,"1"
"2019",CHAT,"98803",NOUMEA NOUVELLE CALEDONIE,"3"
"2019",CHIEN,"98803",NOUMEA - NOUVELLE CALEDONIE,"1"
"2019",CHIEN,"98802",NOUMEA - MAGENTA,"1"
"2019",CHIEN,"98802",NOUMEA NOUVELLE CALEDONIE,"2"
"2019",CHIEN,"98802",NOUVELLE CALEDONIE,"7"
"2019",CHIEN,"98802",MONT DORE ROBINSON,"1"
"2019",CHIEN,"98802",,"1"
"2019",CHAT,"98801",NOUMEA NOUVELLE CALEDONIE,"3"
"2019",CHAT,"98800",DUMBEA,"1"
"2019",CHIEN,"98800",NOUMéA,"1"
"2019",CHIEN,"98800",NOUMEA CEDES,"1"
"2019",CHIEN,"98735",RÉMIRE MONTJOLY,"1"
"2019",CHIEN,"98729","PAPETOAI , MOOREA MAIAO","1"
"2019",CHIEN,"98718",PUNAAUIA,"3"
"2019",CHIEN,"98717",PUNAAUIA,"1"
"2019",CHIEN,"98715",SAINT MARTIN,"1"
"2019",CHAT,"98713",PAPEETE TAHITI,"2"
"2019",CHAT,"98709",MAHINA TAHITI,"1"
"2019",CHAT,"98704",FAAA TAHITI,"1"
"2019",CHIEN,"98600",WALLIS,"1"
"2019",CHIEN,"98450",LONGUESSE,"1"
"2019",CHIEN,"98436",NOUMEA SUD,"1"
"2019",CHIEN,"98310",CONGIEU,"1"
"2019",CHIEN,"98112",SEATTLE WASHINGTON,"1"
"2019",CHAT,"98007",MONACO,"1"
"2019",CHIEN,"98000",NOUVELLE CALEDONIE,"2"
"2019",CHAT,"98000",Monaco,"2"
"2019",CHIEN,"98000",PRINCIPAUTE MONACO,"1"
"2019",CHIEN,"98000",MONACO MONTE CARLO,"1"
"2019",CHIEN,"98000",Monaco,"6"
"2019",CHAT,"98000",PRINCIPAUTE DE MONACO,"3"
"2019",CHAT,"98000",NOUMEA,"1"
"2019",CHIEN,"98000",MONACO,"1641"
"2019",CHIEN,"98000",AGDE,"1"
"2019",CHIEN,"97930",ANGVILLER LES BISPING,"1"
"2019",CHIEN,"97898",SAINT LEU CEDEX LA REUNION,"3"
"2019",CHIEN,"97750",SAINT LOUIS,"1"
"2019",CHAT,"97690",KOUNGOU,"10"
"2019",CHIEN,"97690",MAYOTTE,"5"
"2019",CHIEN,"97670",CHICONI,"4"
"2019",CHIEN,"97660",DEMBÉNI,"1"
"2019",CHIEN,"97640",MAYOTTE,"5"
"2019",CHAT,"97630",MTSAMBORO,"2"
"2019",CHAT,"97630",M TSAMBORO,"1"
"2019",CHIEN,"97620",NOZAY,"1"
"2019",CHAT,"97620",CHIRONGUI MAYOTTE,"5"
"2019",CHIEN,"97615",DZAOUDZI LABATTOIR,"1"
"2019",CHAT,"97615",DZAOUDZI,"34"
"2019",CHIEN,"97615",RAMANDZI,"1"
"2019",CHAT,"97615",Pamandzi,"2"
"2019",CHAT,"97615",PAMANDZI MAYOTTE,"11"
"2019",CHIEN,"97615",PAMANDZI,"68"
"2019",CHAT,"97610",LABATTOIR,"9"
