ESPECE,CODE POSTAL,VILLE,POPULATION,COORDONNEES,VILLE_2
CHAT,"01",Surjoux-Lhopital,"1","[5.799905, 46.023385]",surjoux
CHAT,01 17,Échenevex,"1","[6.045683, 46.308865]",echenevex
CHAT,01 39,Tramoyes,"1","[4.95663, 45.874053]",tramoyes
CHAT,01 55,Pougny,"1","[5.957042, 46.144717]",pougny
CHAT,"0100",Saint-Denis-lès-Sens,"1","[3.268019, 48.224282]",saint denis les bourg
CHAT,"01000",Bourg-en-Bresse,"1","[5.241985, 46.206576]",01000   bourg en bresse
CHAT,"01000",Saint-Denis-lès-Bourg,"5","[5.188617, 46.208158]",bourg
CHAT,"01000",Bourg-en-Bresse,"3","[5.241985, 46.206576]",bourg en  bresse
CHAT,"01000",Bourg-en-Bresse,"80","[5.241985, 46.206576]",bourg en bresse
CHAT,"01000",Bourg-en-Bresse,"1","[5.241985, 46.206576]",bourg en bressse
CHAT,"01000",Saint-Denis-lès-Bourg,"316","[5.188617, 46.208158]",st denis les bourg
CHAT,"01001",L'Abergement-Clémenciat,"1","[4.926588, 46.151812]",st denis les bourg
CHAT,"01010",Anglefort,"1","[5.804434, 45.91151]",lausanne
CHAT,"01066",La Burbanche,"1","[5.556583, 45.848465]",epalinges
CHAT,"01090",Guéreins,"1","[4.776736, 46.103469]",guerein
CHAT,"01090",Guéreins,"1","[4.776736, 46.103469]",gueriens
CHAT,"01090",Montceaux,"113","[4.796298, 46.093709]",montceaux
CHAT,"01090",Montmerle-sur-Saône,"2","[4.762922, 46.084198]",montmerle sur saône
CHAT,"01090",Montmerle-sur-Saône,"1","[4.762922, 46.084198]",montmesle sur saone
CHAT,"01100",Géovreisset,"1","[5.623498, 46.258321]",corveisset
CHAT,"01100",Géovreisset,"2","[5.623498, 46.258321]",geoureisset
CHAT,"01100",Oyonnax,"1","[5.638998, 46.264295]",oyonnax
CHAT,"01101",Oyonnax,"159","[5.638998, 46.264295]",oyonnax cedex
CHAT,"01108",Oyonnax,"27","[5.638998, 46.264295]",oyonnax cedex
CHAT,"01110",Brénod,"34","[5.608555, 46.0649]",brenod
CHAT,"01110",Corlier,"13","[5.499985, 46.030645]",corlier
CHAT,"01110",Plateau d'Hauteville,"1","[5.573658, 45.929728]",hauteville lompes
CHAT,"01110",Plateau d'Hauteville,"13","[5.573658, 45.929728]",plateau d hauteville
CHAT,"01120",Dagneux,"1","[5.071242, 45.849024]",dagnieux
CHAT,"01120",Dagneux,"23","[5.071242, 45.849024]",jailleux
CHAT,"01120",Montluel,"1","[5.030131, 45.884132]",montuel
CHAT,"01128",Montluel,"1","[5.030131, 45.884132]",montluel
CHAT,"01130",Échallon,"2","[5.737067, 46.222328]",echalon
CHAT,"01130",Le Poizat-Lalleyriat,"19","[5.695998, 46.14707]",lalleyriat
CHAT,"01130",Nantua,"1","[5.5995, 46.154802]",nantua
CHAT,"01130",Plagne,"10","[5.724808, 46.190949]",plagne
CHAT,"01130",Saint-Germain-de-Joux,"8","[5.738166, 46.181901]",saint germain de joux
CHAT,"01130",Saint-Germain-de-Joux,"1","[5.738166, 46.181901]",saint germain des joux
CHAT,"01140",Bulgnéville,"1","[5.833656, 48.20721]",bulgneville
CHAT,"01140",Peyzieux-sur-Saône,"1","[4.819587, 46.124741]",peyzieu sur saone
CHAT,"01140",Peyzieux-sur-Saône,"1","[4.819587, 46.124741]",peyzieux sur saône
CHAT,"01140",Saint-Didier-sur-Chalaronne,"282","[4.813904, 46.17999]",st didier sur chalaronne
CHAT,"01140",Saint-Étienne-sur-Chalaronne,"149","[4.866623, 46.146292]",st etienne sur chalaronne
CHAT,"01140",Saint-Étienne-sur-Chalaronne,"1","[4.866623, 46.146292]",st etienne/chalaronne
CHAT,"01150",Farges,"1","[5.907671, 46.16712]",farges
CHAT,"01150",Leyment,"266","[5.289204, 45.930866]",leyment
CHAT,"01150",Saint-Sorlin-en-Bugey,"50","[5.36149, 45.88687]",saint sorlin en bugey
CHAT,"01150",Sault-Brénaz,"1","[5.404138, 45.858485]",sautt brenaz
CHAT,"01150",Vaux-en-Bugey,"2","[5.353415, 45.924684]",st denis en bugey
CHAT,"01150",Vaux-en-Bugey,"78","[5.353415, 45.924684]",vaux en bugey
CHAT,"01160",Neuville-sur-Ain,"226","[5.374133, 46.084416]",neuville sur ain
CHAT,"01160",Pont-d'Ain,"58","[5.346389, 46.056144]",pont d'ain
CHAT,"01160",Port,"1","[5.568934, 46.164341]",port
CHAT,"01160",Varambon,"72","[5.31138, 46.03532]",varambon
CHAT,"01170",Gex,"1","[6.066541, 46.337184]",avouzon
CHAT,"01170",Cessy,"1","[6.079221, 46.315877]",cessey
CHAT,"01170",Cessy,"2","[6.079221, 46.315877]",cessy   gex
CHAT,"01170",Échenevex,"2","[6.045683, 46.308865]",echevenex
CHAT,"01170",Gex,"1","[6.066541, 46.337184]",gewx
CHAT,"01170",Manziat,"1","[4.904967, 46.360125]",manziat
CHAT,"01170",Sauverny,"1","[6.108878, 46.312927]",sauverny
CHAT,"01190",Arbigny,"42","[4.967487, 46.473013]",arbigny
CHAT,"01190",Chavannes-sur-Reyssouze,"1","[5.00604, 46.439168]",chavannes de bogis
CHAT,"01190",Chevroux,"64","[4.957476, 46.381674]",chevroux
CHAT,"01190",Saint-Trivier-sur-Moignans,"1","[4.901293, 46.067723]",saint trivier sur moignans
CHAT,"01200",Bellegarde,"1","[4.495196, 43.751108]",bellegarde
