VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
ABAUCOURT;0;2;;eix abaucourt;[6.265597125712518, 48.89284459163503];6.265597126;48.89284459;54610;54001
ABBANS-DESSUS;0;2;Abbans-Dessus;abbans dessus;[5.8862640828298005, 47.126996605681995];5.886264083;47.12699661;25440;25002
ABBARETZ;1;0;Abbaretz;abbaretz;[-1.4932726209368021, 47.55603848333499];-1.493272621;47.55603848;44170;44001
ABBECOURT;0;160;Abbecourt;abbecourt;[3.177082329271123, 49.59915186534408];3.177082329;49.59915187;2300;2001
ABBEVILLE;2;18;Abbeville;abbeville;[1.832091702071713, 50.10835829438975];1.832091702;50.10835829;80100;80001
ABBEVILLE-LA-RIVIERE;0;1;Abbéville-la-Rivière;abbeville la rivière;[2.191276793458694, 48.34374613840856];2.191276793;48.34374614;91150;91001
ABBEVILLERS;87;0;Abbévillers;abbevillers;[6.921621862256439, 47.42743919200197];6.921621862;47.42743919;25310;25004
ABEILHAN;4;332;Abeilhan;abeilhan;[3.29923508305508, 43.45750199050955];3.299235083;43.45750199;34290;34001
ABELCOURT;47;0;Abelcourt;abelcourt;[6.277745418886538, 47.79340142325009];6.277745419;47.79340142;70300;70001
ABERGEMENT-LA-RONCE;445;0;Abergement-la-Ronce;abergement la ronce;[5.3782642174302, 47.06496695929022];5.378264217;47.06496696;39500;39001
ABERGEMENT-LE-PETIT;1;0;;abergement le petit;[5.696636023235759, 46.906561832023996];5.696636023;46.90656183;39800;39003
ABERGEMENT-LES-THESY;3;1;Abergement-lès-Thésy;abergement les thesy;[5.945698392952651, 46.9134980198731];5.945698393;46.91349802;39110;39004
ABILLY;0;218;Abilly;abilly;[0.7347872964509751, 46.94112442349674];0.734787296;46.94112442;37160;37001
ABJAT-SUR-BANDIAT;0;1;Abjat-sur-Bandiat;abjat bandiat;[0.759998823063447, 45.58176574153229];0.759998823;45.58176574;24300;24001
ABLAIN-SAINT-NAZAIRE;49;2;Ablain-Saint-Nazaire;ablain saint nazaire;[2.697251633440468, 50.3965609083854];2.697251633;50.39656091;62153;62001
ABLAINCOURT-PRESSOIR;0;4;Ablaincourt-Pressoir;ablaincourt pressoire;[2.824810589205364, 49.84131956230459];2.824810589;49.84131956;80320;80002
ABLAINZEVELLE;0;1;Ablainzevelle;abblainzevelle;[2.741473610956832, 50.15365955201303];2.741473611;50.15365955;62116;62002
ABLEIGES;128;1;Ableiges;ableiges;[1.974865245879408, 49.085772994013176];1.974865246;49.08577299;95450;95002
ABLIS;398;2;Ablis;ablis;[1.850964994211878, 48.52832577073153];1.850964994;48.52832577;78660;78003
